title,company,location,link
2021년 (신입) 전문연구요원 모집,NHN,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=9acc17c535b42959
데이터 컨설팅 및 분석분야 경력직 (정규직),한국정보기술단,과천 과천시,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=376e7df4cd432744
광학솔루션사업부 R&D 신입 석/박사,LG이노텍,경기도 안산,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=2ed83a2b5e671038
(분당/3200만이상)만도연구소 연구보조,휴먼앤,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=168ba459afbc627b
"개발자 - 로그 분석 프로그램, Python",바인테크,서울 송파구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=417d617feb2b2c3a
보안 분야,NHN,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=06d133676285b02e
"[광고 추천] 데이터 과학자, 기계학습(머신러닝) 전문가 모집",카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=8c32b5db8ab28c7d
"Sales - Sales Operations Specialist, Seoul, Korea",Tesla,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=01bd5372e531d949
전장부품사업부 신입(석사)/경력사원,LG이노텍,서울 마곡역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=e21dcac9755eb411
데이터 사이언티스트 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=0064deb5fa9cbce0
